month,n,row
2010-10-01,29,1
2010-11-01,25,2
2010-12-01,24,3
2011-01-01,22,4
2011-02-01,20,5
2011-03-01,42,6
2011-04-01,38,7
2011-05-01,51,8
2011-06-01,31,9
2011-07-01,32,10
2011-08-01,24,11
2011-09-01,26,12
2011-10-01,18,13
2011-11-01,22,14
2011-12-01,25,15
2012-01-01,21,16
2012-02-01,28,17
2012-03-01,46,18
2012-04-01,43,19
2012-05-01,33,20
2012-06-01,50,21
2012-07-01,37,22
2012-08-01,42,23
2012-09-01,38,24
2012-10-01,32,25
2012-11-01,22,26
2012-12-01,17,27
2013-01-01,35,28
2013-02-01,34,29
2013-03-01,65,30
2013-04-01,55,31
2013-05-01,41,32
2013-06-01,36,33
2013-07-01,29,34
2013-08-01,22,35
2013-09-01,25,36
2013-10-01,32,37
2013-11-01,35,38
2013-12-01,27,39
2014-01-01,30,40
2014-02-01,37,41
2014-03-01,48,42
2014-04-01,54,43
2014-05-01,36,44
2014-06-01,34,45
2014-07-01,50,46
2014-08-01,45,47
2014-09-01,38,48
